,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,longitude,latitude,sell_year
1255200,Solkrogen 1,9000 Aalborg,960000,1992-12-30,Alm. Salg,3902.0,8.0,Villa,246.0,1937.0,0.0,,,1992
1255201,Gravenstenvej 30,9000 Aalborg,747150,1992-12-22,Alm. Salg,5747.0,5.0,Villa,130.0,1977.0,0.0,,,1992
1255202,Kong Christians Alle 55,9000 Aalborg,650705,1992-12-21,Andet,3739.0,3.0,Villa,174.0,1937.0,0.0,,,1992
1255203,Kærvangs Alle 25A,9000 Aalborg,685000,1992-12-17,Alm. Salg,5854.0,5.0,Villa,117.0,1962.0,0.0,,,1992
1255204,Nørre Tranders Vej 81,9000 Aalborg,343512,1992-12-16,Alm. Salg,2726.0,3.0,Villa,126.0,1968.0,0.0,,,1992
1255205,"Ågade 34, 3. TV",9000 Aalborg,194694,1992-12-14,Alm. Salg,1802.0,3.0,Lejlighed,108.0,1916.0,0.0,,,1992
1255206,Mariendalsvej 1A,9000 Aalborg,297825,1992-10-12,Alm. Salg,,4.0,Villa,99.0,1950.0,0.0,,,1992
1255207,Elisabethsvej 9,9000 Aalborg,790000,1992-03-12,Alm. Salg,4488.0,6.0,Villa,176.0,1934.0,0.0,,,1992
1255208,Strøybergsvej 70B,9000 Aalborg,1041029,1992-03-12,Alm. Salg,,3.0,Rækkehus,147.0,1934.0,0.0,,,1992
1255209,Heilskovsgade 14,9000 Aalborg,733000,1992-02-12,Alm. Salg,,6.0,Rækkehus,123.0,1927.0,0.0,,,1992
1255210,Kvædevej 7,9000 Aalborg,340000,1992-11-27,Alm. Salg,3207.0,4.0,Villa,106.0,1973.0,0.0,,,1992
1255211,Bellahøj 13,9000 Aalborg,680000,1992-11-20,Alm. Salg,,4.0,Villa,118.0,1976.0,0.0,,,1992
1255212,"Jakob Skomager Vej 2, 1. TH",9000 Aalborg,615600,1992-11-16,Alm. Salg,5261.0,4.0,Lejlighed,117.0,1977.0,0.0,,,1992
1255213,"Enggårdsgade 58, 2. TV",9000 Aalborg,515000,1992-10-11,Alm. Salg,4478.0,4.0,Lejlighed,115.0,1966.0,0.0,,,1992
1255214,Myrensvej 2,9000 Aalborg,540000,1992-09-11,Alm. Salg,,5.0,Villa,130.0,1958.0,0.0,,,1992
1255215,Nylandsvej 8B,9000 Aalborg,590917,1992-08-11,Alm. Salg,,3.0,Rækkehus,112.0,1983.0,0.0,,,1992
1255216,"Christiansgade 9, 2",9000 Aalborg,337000,1992-06-11,Alm. Salg,5349.0,2.0,Lejlighed,63.0,1900.0,0.0,,,1992
1255217,Ny Kærvej 5,9000 Aalborg,600000,1992-05-11,Alm. Salg,4285.0,6.0,Villa,140.0,1931.0,0.0,,,1992
1255218,"Malurtvej 23, 2. TH",9000 Aalborg,356431,1992-04-11,Alm. Salg,,3.0,Lejlighed,74.0,1971.0,0.0,,,1992
1255219,"Ærøgade 7, ST. TH",9000 Aalborg,280000,1992-03-11,Alm. Salg,4375.0,2.0,Lejlighed,64.0,1936.0,0.0,,,1992
1255220,Ingridsvej 23,9000 Aalborg,637000,1992-10-30,Alm. Salg,,7.0,Villa,168.0,1983.0,0.0,,,1992
1255221,"Blegdalsparken 41B, 1. TV",9000 Aalborg,445000,1992-10-29,Alm. Salg,4784.0,4.0,Lejlighed,93.0,1979.0,0.0,,,1992
1255222,Ingridsvej 8A,9000 Aalborg,245000,1992-10-29,Alm. Salg,1701.0,5.0,Villa,144.0,1994.0,0.0,,,1992
1255223,"Algade 50, 2",9000 Aalborg,2190000,1992-10-29,Auktion,,3.0,Lejlighed,96.0,1900.0,0.0,,,1992
1255224,Gravenstenvej 7,9000 Aalborg,676750,1992-10-23,Alm. Salg,4151.0,6.0,Villa,163.0,1979.0,0.0,,,1992
1255225,Under Lien 3,9000 Aalborg,600200,1992-10-21,Alm. Salg,,5.0,Villa,202.0,1925.0,0.0,,,1992
1255226,Mester Eriks Vej 29,9000 Aalborg,279526,1992-10-21,Fam. Salg,,5.0,Villa,146.0,1931.0,0.0,,,1992
1255227,Filippavej 8,9000 Aalborg,730000,1992-10-20,Alm. Salg,5447.0,4.0,Villa,134.0,1972.0,0.0,,,1992
1255228,Hobrovej 33,9000 Aalborg,951000,1992-10-19,Alm. Salg,,8.0,Villa,303.0,1912.0,0.0,,,1992
1255229,Ferskenvej 14,9000 Aalborg,700000,1992-10-17,Alm. Salg,5263.0,5.0,Villa,133.0,1972.0,0.0,,,1992
