,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,longitude,latitude,sell_year
645404,Windelsvej 28,5000 Odense C,360000,1992-04-12,Alm. Salg,,4.0,Villa,95.0,1924.0,0.0,,,1992
645405,Bøgebjergvej 12,5000 Odense C,655000,1992-11-27,Alm. Salg,5413.0,4.0,Villa,121.0,1934.0,0.0,,,1992
645406,Windelsvej 37,5000 Odense C,640000,1992-11-25,Alm. Salg,4324.0,6.0,Villa,148.0,1935.0,0.0,,,1992
645407,Drejøgade 21,5000 Odense C,575000,1992-11-24,Alm. Salg,7012.0,3.0,Villa,82.0,1938.0,0.0,,,1992
645408,Vendersvej 29,5000 Odense C,350000,1992-11-14,Alm. Salg,4545.0,4.0,Villa,77.0,1948.0,0.0,,,1992
645409,Bøgebjergvej 5,5000 Odense C,376250,1992-11-11,Fam. Salg,2894.0,6.0,Villa,130.0,1923.0,0.0,,,1992
645410,Dronningensgade 6B,5000 Odense C,560000,1992-07-11,Alm. Salg,6363.0,3.0,Lejlighed,88.0,1884.0,0.0,,,1992
645411,Isgårdsvej 19,5000 Odense C,380000,1992-04-11,Alm. Salg,4086.0,4.0,Villa,93.0,1963.0,0.0,,,1992
645412,Ny Kongevej 24,5000 Odense C,375000,1992-10-29,Alm. Salg,2737.0,7.0,Villa,137.0,1927.0,0.0,,,1992
645413,Sophie Breums Vej 12,5000 Odense C,755000,1992-10-28,Alm. Salg,5279.0,6.0,Villa,143.0,1935.0,0.0,,,1992
645414,Palnatokesvej 17,5000 Odense C,655000,1992-10-27,Alm. Salg,4068.0,6.0,Villa,161.0,1927.0,0.0,,,1992
645415,Prins Valdemars Vej 13,5000 Odense C,239523,1992-10-26,Fam. Salg,,6.0,Villa,188.0,1930.0,0.0,,,1992
645416,Åløkke Allé 15,5000 Odense C,580000,1992-10-20,Alm. Salg,2900.0,8.0,Villa,200.0,1907.0,0.0,,,1992
645417,Windelsvej 67,5000 Odense C,695000,1992-10-18,Alm. Salg,4542.0,6.0,Villa,153.0,1937.0,0.0,,,1992
645418,Emilievej 27,5000 Odense C,695000,1992-12-10,Alm. Salg,5186.0,6.0,Villa,134.0,1955.0,0.0,,,1992
645419,"Holmehusvej 72, ST. TH",5000 Odense C,176985,1992-07-10,Alm. Salg,2854.0,2.0,Lejlighed,62.0,1943.0,0.0,,,1992
645420,Ny Kongevej 31,5000 Odense C,820000,1992-06-10,Alm. Salg,,6.0,Villa,174.0,1930.0,0.0,,,1992
645421,Tranevej 15,5000 Odense C,685000,1992-03-10,Alm. Salg,4176.0,6.0,Villa,164.0,1932.0,0.0,,,1992
645422,"Skt. Jørgens Gade 90, 2. TH",5000 Odense C,315000,1992-02-10,Alm. Salg,6176.0,2.0,Lejlighed,51.0,1936.0,0.0,,,1992
645423,Slotsbakkevænget 16,5000 Odense C,610000,1992-09-23,Alm. Salg,3986.0,4.0,Villa,153.0,1915.0,0.0,,,1992
645424,Sandhusvej 70,5000 Odense C,575000,1992-09-17,Fam. Salg,3382.0,5.0,Villa,170.0,1950.0,0.0,,,1992
